ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
169949,Plums,Fruits,46,0.28,0.7,11.42,9.92,1.4,0.017,6,0.17,157,7,10.02,-2.64,1.57,5.07,3.07,134,44
169986,Cauliflower,Vegetables,25,0.28,1.92,4.97,1.91,2,0.13,22,0.42,299,15,2.97,-4.421,0,0.94,0.97,34,31
169998,Yellow Sweet Corn,Vegetables,86,1.35,3.27,18.7,6.26,2,0.325,2,0.52,270,37,16.7,-1.801,0.89,3.43,1.94,432,487
170000,Onions,Vegetables,40,0.1,1.1,9.34,4.24,1.7,0.042,23,0.21,146,10,7.64,-2.031,0.99,1.97,1.29,13,17
170036,Hash Browns,Restaurant Foods,265,12.52,3,35.11,1.49,3.2,1.883,14,0.55,576,35,31.91,-9.196,0.33,0.64,0.52,5299,4703
170108,Sweet Red Bell Peppers,Vegetables,26,0.3,0.99,6.03,4.2,2.1,0.059,7,0.43,211,12,3.93,-3.412,0,1.94,2.26,7,156
170148,Hemp Seeds,Nuts and Seeds,553,48.75,31.56,8.67,1.5,4,4.6,70,7.95,1200,700,4.67,31.874,0.85,0.2,0.31,5400,38100
170181,Nuts Mixed Nuts Dry Roasted With Peanuts Salt Added Chosen Roaster,Nuts and Seeds,608,53.2,18,24.62,3.9,7.1,7.023,106,3.22,585,202,17.52,5.03,3.9,0,0,27596,19479
170182,Pecans,Nuts and Seeds,691,71.97,9.17,13.86,3.97,9.6,6.18,70,2.53,410,121,4.26,1.999,3.9,0.04,0.04,40801,21614
170204,Beef Cured Pastrami,Meats,147,5.82,21.8,0.36,0.1,0,2.681,10,2.22,210,17,0.36,12.149,0,0,0.01,2118,145
170258,Frozen Novelties No Sugar Added Fudgsicle Pops,Sweets,124,1.87,3.67,23.11,5.1,1.5,0.984,231,1.58,253,27,21.61,-1.333,0,0,0,649,149
170273,Dark Chocolate (70-85% Cocoa),Sweets,598,42.63,7.79,45.9,23.99,10.9,24.489,73,11.9,715,228,35,-6.819,23.99,0,0,12781,1257
170274,Chocolate Dark NFS (45-59% Cacao Solids 90%; 60-69% Cacao Solids 5%; 70-85% Cacao Solids 5%),Sweets,550,32.2,5.09,59.97,46.14,7.2,18.993,57,8.13,568,152,52.77,-6.311,44.65,0,0,9801,1107
170300,Coleslaw (Fast Food),Fast Foods,153,9.91,0.95,14.89,12.19,1.9,1.599,30,0.22,129,8,12.99,-2.117,8.96,1.69,1.44,2671,5348
170303,Chick-Fil-A Chick-N-Strips,Fast Foods,228,11.2,21.4,10.39,1.24,0.9,2.057,25,0.97,497,30,9.49,8.653,1.24,0,0,6165,2409
170319,McDonalds Filet-O-Fish,Fast Foods,282,14.64,11.26,26.39,3.67,1.4,2.833,120,1.56,220,27,24.99,3.674,0.1,1,1.93,4005,5952
170332,Taco Bell Original Taco With Beef Cheese And Lettuce,Fast Foods,229,12.7,8.86,19.85,0.9,3.9,4.384,89,1.19,209,32,15.95,4.519,0.4,0.2,0.3,4411,3042
170336,Taco Bell Nachos,Fast Foods,350,21.5,4.32,34.91,2.17,3.2,2.173,63,0.75,362,42,31.71,-0.119,0.53,0,0,14020,5040
170379,Broccoli,Vegetables,34,0.37,2.82,6.64,1.7,2.6,0.114,47,0.73,316,21,4.04,-4.007,0.1,0.49,0.68,31,112
170457,Tomatoes,Vegetables,18,0.2,0.88,3.89,2.63,1.2,0.028,10,0.27,237,11,2.69,-4.101,0,1.25,1.37,31,83
170564,Seeds Sunflower Seed Kernels Oil Roasted Without Salt,Nuts and Seeds,592,51.3,20.06,22.89,3.11,10.6,7.068,87,4.28,483,127,12.29,37.31,2.37,0.74,0,8063,34294
170567,Almonds,Nuts and Seeds,579,49.93,21.15,21.55,4.35,12.5,3.802,269,3.71,733,270,9.05,2.096,3.95,0.17,0.11,31551,12329
170569,Brazilnuts,Nuts and Seeds,659,67.1,14.32,11.74,2.33,7.5,16.134,160,2.43,659,376,4.24,7.968,2.33,0,0,23879,24399
170577,Nuts Coconut Meat Dried (Desiccated) Sweetened Flaked Packaged,Nuts and Seeds,456,27.99,3.13,51.85,36.75,9.9,26.396,11,1.51,361,51,41.95,-3.868,36.21,0.53,0.01,1377,222
170581,Hazelnuts,Nuts and Seeds,628,60.75,14.95,16.7,4.34,9.7,4.464,114,4.7,680,163,7,-2.061,4.2,0.07,0.07,45652,7920
170591,Pine Nuts (Dried),Nuts and Seeds,673,68.37,13.69,13.08,3.59,3.7,4.899,16,5.53,597,251,9.38,8.577,3.45,0.07,0.07,18764,34071
170681,Syrup Nestle Chocolate,Sweets,269,0,0,67.21,60,0,0,0,0,122,40,67.21,-1.48,59.86,0,0,0,0
170686,Roasted Buckwheat Groats,Grains and Pasta,92,0.62,3.38,19.94,0.9,2.7,0.134,7,0.8,88,51,17.24,0.957,0.4,0.2,0.1,188,188
170721,McDonalds French Fries,Fast Foods,323,15.47,3.41,42.58,0.21,3.9,2.271,19,0.8,596,37,38.68,-7.426,0.21,0,0,7379,4727
170845,Mozzarella,Dairy and Egg Products,299,22.14,22.17,2.4,0,0,13.9,505,0.44,76,20,2.4,15.267,0,0,0,6573,765
170859,Heavy Whipping Cream,Dairy and Egg Products,340,36.08,2.84,2.84,2.92,0,23.032,66,0.1,95,7,2.84,0.491,0,0,0,9101,1570
170894,Nonfat Greek Yogurt,Dairy and Egg Products,59,0.39,10.19,3.6,3.24,0,0.117,110,0.07,141,11,3.6,5.294,0,0,0,53,12
170901,Nonfat Greek Strawberry Yogurt,Dairy and Egg Products,82,0.15,8.05,12.07,11.27,0.6,0.105,97,0.09,132,10,11.47,3.816,5.41,0.65,2.19,26,14
170902,Nonfat Greek Vanilla Yogurt,Dairy and Egg Products,78,0.18,8.64,10.37,9.54,0.5,0.133,99,0.04,123,10,9.87,4.491,4.07,0.32,1.92,39,9
170904,Kefir Lowfat Plain Lifeway,Dairy and Egg Products,43,1.02,3.79,4.77,4.61,0,0.658,130,0.04,164,12,4.77,0.276,0,0,0,310,53
170924,Curry Powder,Spices and Herbs,325,14.01,14.29,55.83,2.76,53.2,1.648,525,19.1,1170,255,2.63,-17.637,0.62,1.14,0.79,8782,3056
170926,Ground Ginger,Spices and Herbs,335,4.24,8.98,71.62,3.39,14.1,2.599,114,19.8,1320,214,57.52,-24.346,0.2,1.22,1.78,479,929
170930,Dried Parsley,Spices and Herbs,292,5.48,26.63,50.64,7.27,26.7,1.378,1140,22.04,2683,400,23.94,-52.771,4.09,2.76,0.42,761,3124
170931,Black Pepper,Spices and Herbs,251,3.26,10.39,63.95,0.64,25.3,1.392,443,9.71,1329,171,38.65,-27.361,0.02,0.24,0.23,739,998
170952,Babyfood Fruit And Vegetable Apple And Sweet Potato,Baby Foods,64,0.22,0.3,15.3,11.6,1.4,0.041,8,0.2,149,6,13.9,-2.63,0.65,3.12,7.06,8,79
170965,Babyfood Cereal Mixed With Bananas Dry,Baby Foods,391,4.6,10.7,77.1,6.68,7.8,0.846,696,47.5,668,90,69.3,-6.688,1.82,2.44,2.36,1223,1734
170969,Babyfood Cereal Rice Dry Fortified,Baby Foods,390,2.19,6.65,83.14,4.85,1.3,0.234,860,53.01,281,37,81.84,-4.723,0.21,2.38,0.1,420,784
170989,Babyfood Mashed Cheddar Potatoes And Broccoli Toddlers,Baby Foods,48,1.47,1.11,7.47,1.17,1.2,0.875,20,0.16,118,8,6.27,-1.528,0.07,0.14,0.13,370,92
171008,Salad Dressing Thousand Island Dressing Reduced Fat,Fats and Oils,195,11.32,0.83,24.06,17.31,1.2,0.746,27,0.9,202,7,22.86,-3.873,0.8,9.11,6.9,6468,2692
171020,Salad Dressing French Dressing Commercial Regular Without Salt,Fats and Oils,459,44.81,0.77,15.58,15.95,0,5.648,24,0.8,67,5,15.58,-0.777,3.89,6.71,5.36,8433,21029
171021,Lowfat French Salad Dressing,Fats and Oils,233,13.46,0.58,29.28,28.45,1.1,1.099,11,0.87,107,8,28.18,-1.735,0,15.66,12.49,5898,5029
171022,Salad Dressing Italian Dressing Commercial Regular Without Salt,Fats and Oils,292,28.37,0.38,10.43,8.32,0,4.474,7,0.63,48,3,10.43,-0.664,0,4.68,3.64,6315,12941
171023,Salad Dressing Italian Dressing Reduced Fat Without Salt,Fats and Oils,76,6.38,0.47,4.57,4.55,0,0.451,9,0.65,85,4,4.57,-1.378,0,2.31,2.24,2190,1704
171081,Turkey Whole Meat And Skin Raw,Meats,144,5.64,21.64,0.14,0.07,0,1.461,11,0.86,224,25,0.14,11.848,0.07,0,0,1826,1466
171155,Soup Cream Of Mushroom Canned Condensed,Soups and Sauces,79,5.3,1.35,6.8,0.4,0.7,0.964,12,0.18,64,3,6.1,-0.036,0,0,0,1219,2901
171177,Soup Ramen Noodle Any Flavor Dry,Soups and Sauces,440,17.59,10.17,60.26,1.98,2.9,8.117,21,4.11,181,25,57.36,4.489,1.43,0,0,6156,2198
171190,Soup Beef And Vegetables Canned Ready-To-Serve,Soups and Sauces,48,1.16,3.18,6.16,1.25,1.2,0.407,18,0.51,174,10,4.96,-0.834,0.62,0.29,0.33,296,342
171192,Pasta Sauce,Soups and Sauces,50,1.61,1.39,7.43,4.91,1.8,0.218,26,0.73,320,18,5.63,-5.624,0.41,2.23,2.26,298,673
171247,Grated Parmesan,Dairy and Egg Products,420,27.84,28.42,13.91,0.07,0,15.371,853,0.49,180,34,13.91,21.344,0,0,0,7130,1386
171265,Whole Milk,Dairy and Egg Products,61,3.25,3.15,4.8,5.05,0,1.865,113,0.03,132,10,4.8,0.134,0,0,0,812,195
171267,Low-Fat Milk 2%,Dairy and Egg Products,50,1.98,3.3,4.8,5.06,0,1.257,120,0.02,140,11,4.8,0.218,0.01,0.01,0.01,560,73
171269,Skim Milk,Dairy and Egg Products,34,0.08,3.37,4.96,5.09,0,0.056,122,0.03,156,11,4.96,0.221,0,0,0,22,3
171277,Hot Cocoa,Dairy and Egg Products,77,2.34,3.52,10.74,9.66,1,1.431,114,0.42,197,23,9.74,-0.634,5,0.01,0.01,677,84
171287,Eggs (Raw),Dairy and Egg Products,143,9.51,12.56,0.72,0.37,0,3.126,56,1.75,138,12,0.72,9.525,0,0.37,0,3658,1911
171319,Chili Powder,Spices and Herbs,282,14.28,13.46,49.7,7.19,34.8,2.462,330,17.3,1950,149,14.9,-31.658,0.76,2.14,4.29,3211,8006
171320,Cinnamon,Spices and Herbs,247,1.24,3.99,80.59,2.17,53.1,0.345,1002,8.32,431,60,27.49,-19.375,0.02,1.04,1.11,246,68
171321,Ground Cloves,Spices and Herbs,274,13,5.97,65.53,2.38,33.9,3.952,632,11.83,1020,259,31.63,-29.776,0.02,1.14,1.07,1393,3606
171327,Onion Powder,Spices and Herbs,341,1.04,10.41,79.12,6.63,15.2,0.219,384,3.9,985,113,63.92,-11.733,3.87,0.73,1.67,202,310
171328,Dried Oregano,Spices and Herbs,265,4.28,9,68.92,4.09,42.5,1.551,1597,36.8,1260,270,26.42,-44.562,0.91,1.9,1.13,716,1369
171329,Paprika,Spices and Herbs,282,12.89,14.14,53.99,10.34,34.9,2.14,229,21.14,2280,178,19.09,-37.22,0.81,2.63,6.71,1695,7766
171330,Poppy Seeds,Spices and Herbs,525,41.56,17.99,28.13,2.99,19.5,4.517,1438,9.76,719,347,8.63,-1.986,2.33,0.37,0.29,5982,28569
171360,Babyfood Cereal Oatmeal Dry Fortified,Baby Foods,394,6.36,10.99,73.48,11.67,7.3,0.841,1160,64.1,549,110,66.18,-5.45,0.99,6.53,0.15,1564,1748
171403,Mayonnaise Salad Dressing,Fats and Oils,250,21.6,0.65,14.78,10.02,0,3.396,5,0.12,36,2,14.78,-0.078,0.69,4.6,4.5,5053,12187
171414,Salad Dressing French Dressing Commercial Regular,Fats and Oils,419,39.07,0.87,18.79,17.43,2.4,6.093,27,0.32,108,7,16.39,-1.463,4,6.56,6.15,8910,22952
171420,Salad Dressing French Dressing Fat-Free,Fats and Oils,132,0.27,0.2,32.14,16.45,2.2,0.037,5,0.58,84,3,29.94,-1.818,5.5,4.68,5.05,141,62
171566,Gravy Chicken Canned Or Bottled Ready-To-Serve,Soups and Sauces,48,2.62,0.71,5.29,0.3,0.1,0.639,10,0.09,42,3,5.19,-0.007,0,0,0,1027,407
171575,Sauce Peanut Made From Coconut Water Sugar Peanuts,Soups and Sauces,179,6.34,2.02,28.46,18.8,1.1,3.53,9,0.38,99,19,27.36,-0.421,6.9,4.75,4.95,1355,1135
171579,Pesto,Soups and Sauces,418,37.6,9.83,10.09,6.33,1.8,7.07,306,0.57,560,47,8.29,-2.112,0,0.23,0,22155,6546
171625,Turkey Hotdog,Meats,223,17.29,12.23,3.81,1.21,0,4.028,148,1.47,392,14,3.81,1.793,0,1.03,0,5736,3949
171637,Bologna Meat And Poultry,Meats,281,23.77,10.34,6.31,1.97,0,7.389,125,1.24,320,15,6.31,4.139,0,1.2,0,10269,4590
171655,White Cornmeal (Grits),Breakfast Cereals,71,0.46,1.71,14.76,0.12,0.8,0.066,1,0.57,27,7,13.96,0.811,0.12,0,0,64,165
171658,Farina Enriched Assorted Brands Including Cream Of Wheat Quick (1-3 Minutes) Dry,Breakfast Cereals,360,1.41,11.6,73.19,0.56,4.2,0.232,711,33.39,153,45,68.99,1.353,0.42,0,0,150,627
171659,Farina Enriched Assorted Brands Including Cream Of Wheat Quick (1-3 Minutes) Cooked With Wat,Breakfast Cereals,55,0.34,1.82,10.92,0.76,0.8,0.066,97,5.33,23,7,10.12,0.33,0.07,0,0,38,126
171661,Oats Instant Fortified Plain Dry,Breakfast Cereals,362,6.9,11.92,69.52,1.5,10,1.346,351,24.72,366,128,59.52,5.84,1,0.1,0.1,2325,2533
171662,Oats Instant Fortified Plain Prepared With Water (Boiling Water Added Or Microwaved),Breakfast Cereals,68,1.36,2.37,11.67,0.46,1.7,0.226,80,5.96,61,26,9.97,0.999,0.29,0,0,391,426
171664,Oats Instant Fortified With Cinnamon And Spice Dry,Breakfast Cereals,369,4.84,9.53,76.08,25.33,8,0.768,234,8.46,284,92,68.08,5.13,24.5,0.3,0.23,1487,1696
171675,Oats Regular And Quick And Instant Unenriched Cooked With Water (Includes Boiling And Microw,Breakfast Cereals,71,1.52,2.54,12,0.27,1.7,0.31,9,0.9,70,27,10.3,1.79,0.25,0,0,435,559
171688,Apples,Fruits,52,0.17,0.26,13.81,10.39,2.4,0.028,6,0.12,107,5,11.41,-1.933,2.07,2.43,5.9,7,51
171705,Avocados,Fruits,160,14.66,2,8.53,0.66,6.7,2.126,12,0.55,485,29,1.83,-8.248,0.06,0.37,0.12,9799,1816
171821,Soup Wonton Chinese Restaurant,Soups and Sauces,32,0.26,2.08,5.25,0.34,0.2,0.062,5,0.21,32,3,5.05,0.866,0.24,0,0,77,71
171831,Wasabi,Soups and Sauces,292,10.9,2.23,46.13,13.2,6.1,2.031,41,0.5,182,21,40.03,-2.871,8.4,2.5,2.3,4410,3627
171862,Rolls Gluten-Free White Made With Rice Flour Rice Starch And Corn Starch,Baked Foods,239,2.65,3.34,50.47,6.87,5.1,0.215,180,3.57,76,13,45.37,-0.799,0,2.08,2.06,1353,637
171874,Chocolate Malt Powder Prepared With 1% Milk Fortified,Beverages,57,0.97,3.32,8.81,7.81,0,0.63,160,1.14,191,24,8.81,-1.637,3.02,0,0,276,35
171875,Carbonated Limeade High Caffeine,Beverages,17,0.11,0,4.11,3.97,0,0,2,0.03,19,0,4.11,0.646,0,1.72,2.25,0,0
171890,Coffee,Beverages,1,0.02,0.12,0,0,0,0.002,2,0.01,49,3,0,-0.969,0,0,0,15,1
171907,Malt Liquor Beverage,Beverages,40,0,0.35,0,0,0,0,3,0.03,33,5,0,-0.214,0,0,0,0,0
171937,Energy Drink Rockstar,Beverages,58,0.22,0.34,12.7,12.26,0,0,1,0.05,6,0,12.7,0.027,2.65,6.03,3.59,0,0
171966,Canned Blue Crab,Fish,83,0.74,17.88,0,0,0,0.201,91,0.5,259,36,0,9.825,0,0,0,129,258
171976,Canned Clams,Fish,142,1.59,24.25,5.9,0,0,0.309,65,2.68,628,32,5.9,9.044,0,0,0,198,318
171978,Mollusks Oyster Eastern Wild Raw,Fish,51,1.71,5.71,2.72,0.62,0,0.474,59,4.61,156,18,2.72,1.855,0,0.62,0,253,528
171980,Cooked Wild Eastern Oysters,Fish,102,3.42,11.42,5.45,1.23,0,0.948,116,9.21,139,35,5.45,7.412,0,1.23,0,506,1056
172012,Beef Baloney (Bologna),Meats,299,26.13,10.91,4.29,2.05,0,10.487,21,1.29,351,13,4.29,3.023,0,1.65,0,12198,1182
172035,French Toast Sticks,Fast Foods,340,17.74,6,41.21,9.89,1.4,3.989,53,1.92,111,19,39.81,2.628,7.14,1.03,0.75,9502,2566
172037,Shrimp Breaded And Fried,Fast Foods,308,18.9,7.84,27.99,0.1,0.7,3.843,29,0.86,82,16,27.29,8.159,0,0,0,11905,1593
172059,McDonalds Sausage Mcgriddles,Fast Foods,312,17.76,8.41,31.25,11.23,1,5.435,63,1.42,145,14,30.25,11.566,6.16,3.91,0.14,7532,2591
172065,McDonalds Double Cheeseburger,Fast Foods,282,16.09,15.5,18.79,4.23,0.8,6.998,178,2.24,216,21,17.99,6.313,0,1.33,1.93,5655,1351
172086,Popeyes Biscuit,Fast Foods,401,23.71,6,40.95,3.46,3.8,11.515,108,2.51,173,13,37.15,8.977,0.74,0,0,5686,4379
172097,Chili Con Carne With Beans Canned Entree,Prepared Meals,107,3.47,5.8,13.1,1.87,3.3,1.253,33,1.34,264,28,9.8,-0.675,1.03,0.34,0.49,1412,400
172099,Spaghetti With Meatballs In Tomato Sauce Canned,Prepared Meals,100,4.11,4.37,11.45,2.91,2.7,1.459,29,1.03,217,13,8.75,-1.047,0.34,1.25,1.32,1633,563
172102,Burrito Beef And Bean Microwaved,Prepared Meals,298,11.94,8.73,38.95,1.36,6.9,4.072,39,3.12,271,36,32.05,0.695,0.47,0,0.14,5035,1763
